label,class_name,n_test,correct,accuracy
0,cattle_0100,0,0,
1,cattle_0200,0,0,
2,cattle_0300,0,0,
3,cattle_0400,0,0,
4,cattle_0500,0,0,
5,cattle_0600,0,0,
6,cattle_0700,0,0,
7,cattle_0800,0,0,
8,cattle_0900,0,0,
9,cattle_1000,0,0,
10,cattle_1100,0,0,
11,cattle_1200,0,0,
12,cattle_1300,0,0,
13,cattle_1400,0,0,
14,cattle_1500,0,0,
15,cattle_1600,0,0,
16,cattle_1700,0,0,
17,cattle_1800,0,0,
18,cattle_1900,0,0,
19,cattle_2000,0,0,
20,cattle_2100,0,0,
21,cattle_2200,0,0,
22,cattle_2220,0,0,
23,cattle_2300,0,0,
24,cattle_2320,0,0,
25,cattle_2400,0,0,
26,cattle_2500,0,0,
27,cattle_2510,0,0,
28,cattle_2600,0,0,
29,cattle_2700,0,0,
30,cattle_2710,0,0,
31,cattle_2740,0,0,
32,cattle_2800,0,0,
33,cattle_2900,0,0,
34,cattle_2930,0,0,
35,cattle_3000,0,0,
36,cattle_3100,0,0,
37,cattle_3200,0,0,
38,cattle_3300,0,0,
39,cattle_3400,0,0,
40,cattle_3420,0,0,
41,cattle_3802,0,0,
42,cattle_3812,0,0,
43,cattle_3814,0,0,
44,cattle_3819,0,0,
45,cattle_3832,1,0,0.0
46,cattle_3842,0,0,
47,cattle_3844,0,0,
48,cattle_3847,0,0,
49,cattle_3852,0,0,
50,cattle_3856,0,0,
51,cattle_4208,0,0,
52,cattle_4259,0,0,
53,cattle_4323,0,0,
54,cattle_4326,0,0,
55,cattle_4330,0,0,
56,cattle_4339,0,0,
57,cattle_4347,0,0,
58,cattle_4363,0,0,
59,cattle_4369,0,0,
60,cattle_4381,1,0,0.0
61,cattle_4385,0,0,
62,cattle_4399,0,0,
63,cattle_4421,0,0,
64,cattle_4422,0,0,
65,cattle_4451,0,0,
66,cattle_4454,0,0,
67,cattle_4456,0,0,
68,cattle_4479,0,0,
69,cattle_4488,0,0,
70,cattle_4499,0,0,
71,cattle_4537,0,0,
72,cattle_4539,0,0,
73,cattle_4545,0,0,
74,cattle_4549,0,0,
75,cattle_4551,0,0,
76,cattle_4568,0,0,
77,cattle_4607,1,0,0.0
78,cattle_4613,0,0,
79,cattle_4614,0,0,
80,cattle_4649,0,0,
81,cattle_4668,0,0,
82,cattle_4678,0,0,
83,cattle_4679,0,0,
84,cattle_4680,0,0,
85,cattle_4685,0,0,
86,cattle_4686,0,0,
87,cattle_4716,1,0,0.0
88,cattle_4717,0,0,
89,cattle_4733,0,0,
90,cattle_4739,0,0,
91,cattle_4748,0,0,
92,cattle_4770,0,0,
93,cattle_4775,0,0,
94,cattle_4776,0,0,
95,cattle_4804,0,0,
96,cattle_4819,0,0,
97,cattle_4820,0,0,
98,cattle_4833,0,0,
99,cattle_4839,0,0,
100,cattle_4840,0,0,
101,cattle_4895,0,0,
102,cattle_4915,0,0,
103,cattle_4921,0,0,
104,cattle_4947,0,0,
105,cattle_4951,0,0,
106,cattle_4969,0,0,
107,cattle_4971,0,0,
108,cattle_4984,0,0,
109,cattle_4985,0,0,
110,cattle_4986,0,0,
111,cattle_4995,0,0,
112,cattle_5009,0,0,
113,cattle_5026,0,0,
114,cattle_5028,0,0,
115,cattle_5066,0,0,
116,cattle_5073,0,0,
117,cattle_5077,0,0,
118,cattle_5083,0,0,
119,cattle_5090,0,0,
120,cattle_5097,0,0,
121,cattle_5100,0,0,
122,cattle_5112,0,0,
123,cattle_5132,0,0,
124,cattle_5133,0,0,
125,cattle_5138,0,0,
126,cattle_5143,0,0,
127,cattle_5153,0,0,
128,cattle_5164,0,0,
129,cattle_5165,0,0,
130,cattle_5170,0,0,
131,cattle_5171,0,0,
132,cattle_5197,0,0,
133,cattle_5207,0,0,
134,cattle_5208,0,0,
135,cattle_5215,0,0,
136,cattle_5224,0,0,
137,cattle_5234,0,0,
138,cattle_5235,0,0,
139,cattle_5249,0,0,
140,cattle_5273,0,0,
141,cattle_5275,0,0,
142,cattle_5282,0,0,
143,cattle_5283,0,0,
144,cattle_5297,1,0,0.0
145,cattle_5298,0,0,
146,cattle_5307,0,0,
147,cattle_5314,0,0,
148,cattle_5325,1,0,0.0
149,cattle_5355,0,0,
150,cattle_5359,0,0,
151,cattle_5360,0,0,
152,cattle_5362,0,0,
153,cattle_5373,0,0,
154,cattle_5374,0,0,
155,cattle_5403,0,0,
156,cattle_5404,0,0,
157,cattle_5407,0,0,
158,cattle_5408,0,0,
159,cattle_5410,0,0,
160,cattle_5411,0,0,
161,cattle_5425,0,0,
162,cattle_5427,0,0,
163,cattle_5432,0,0,
164,cattle_5477,1,0,0.0
165,cattle_5507,0,0,
166,cattle_5508,0,0,
167,cattle_5509,0,0,
168,cattle_5519,0,0,
169,cattle_5529,0,0,
170,cattle_5537,0,0,
171,cattle_5556,0,0,
172,cattle_5559,0,0,
173,cattle_5581,1,0,0.0
174,cattle_5604,1,0,0.0
175,cattle_5605,0,0,
176,cattle_5620,0,0,
177,cattle_5630,0,0,
178,cattle_5633,0,0,
179,cattle_5634,0,0,
180,cattle_5639,0,0,
181,cattle_5654,0,0,
182,cattle_5658,0,0,
183,cattle_5670,0,0,
184,cattle_5677,0,0,
185,cattle_5695,0,0,
186,cattle_5697,0,0,
187,cattle_5717,0,0,
188,cattle_5745,0,0,
189,cattle_5761,0,0,
190,cattle_5762,0,0,
191,cattle_5774,0,0,
192,cattle_5777,1,0,0.0
193,cattle_5781,0,0,
194,cattle_5784,0,0,
195,cattle_5803,1,0,0.0
196,cattle_5804,0,0,
197,cattle_5806,0,0,
198,cattle_5809,0,0,
199,cattle_5815,0,0,
200,cattle_5816,0,0,
201,cattle_5836,0,0,
202,cattle_5844,0,0,
203,cattle_5886,0,0,
204,cattle_5925,0,0,
205,cattle_5932,1,0,0.0
206,cattle_5953,0,0,
207,cattle_5971,0,0,
208,cattle_5986,0,0,
209,cattle_6011,0,0,
210,cattle_6012,0,0,
211,cattle_6017,0,0,
212,cattle_6022,0,0,
213,cattle_6038,0,0,
214,cattle_6066,1,0,0.0
215,cattle_6071,0,0,
216,cattle_6084,0,0,
217,cattle_6098,0,0,
218,cattle_6124,0,0,
219,cattle_6161,0,0,
220,cattle_6167,0,0,
221,cattle_6171,0,0,
222,cattle_6184,0,0,
223,cattle_6189,0,0,
224,cattle_6191,0,0,
225,cattle_6196,0,0,
226,cattle_6197,0,0,
227,cattle_6199,0,0,
228,cattle_6210,0,0,
229,cattle_6213,0,0,
230,cattle_6216,0,0,
231,cattle_6220,1,0,0.0
232,cattle_6226,0,0,
233,cattle_6237,0,0,
234,cattle_6253,0,0,
235,cattle_6266,0,0,
236,cattle_6276,0,0,
237,cattle_6277,0,0,
238,cattle_6278,0,0,
239,cattle_6282,0,0,
240,cattle_6283,0,0,
241,cattle_6287,0,0,
242,cattle_6294,0,0,
243,cattle_6295,0,0,
244,cattle_6313,0,0,
245,cattle_6331,0,0,
246,cattle_6333,0,0,
247,cattle_6442,0,0,
248,cattle_6446,0,0,
249,cattle_6458,0,0,
250,cattle_6479,0,0,
251,cattle_6499,0,0,
252,cattle_6505,0,0,
253,cattle_6506,1,0,0.0
254,cattle_6530,0,0,
255,cattle_6606,1,0,0.0
256,cattle_8050,0,0,
257,cattle_8094,0,0,
258,cattle_8095,0,0,
259,cattle_9021,0,0,
260,cattle_9029,0,0,
261,cattle_9634,0,0,
262,cattle_9635,0,0,
263,cattle_9736,0,0,
264,cattle_9742,0,0,
265,cattle_9773,0,0,
266,cattle_9798,0,0,
267,cattle_9801,0,0,
